seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: Gaussian, defense: Krum, attack_params: {'noise_mean': 0, 'noise_std': 1}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/Gaussian_Krum/200_20_4_0.05_2025-03-09_12-14-54.txt

Started on Sun Mar  9 12:14:54 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1346	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1586	Train loss: 0.0177	Test Acc: 0.1166	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1742	Train loss: 0.0173	Test Acc: 0.1300	Test loss: 0.0180
Epoch 3  	Train Acc: 0.1895	Train loss: 0.0171	Test Acc: 0.1549	Test loss: 0.0178
Epoch 4  	Train Acc: 0.2293	Train loss: 0.0163	Test Acc: 0.2351	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2859	Train loss: 0.0157	Test Acc: 0.2768	Test loss: 0.0172
Epoch 6  	Train Acc: 0.2973	Train loss: 0.0151	Test Acc: 0.2531	Test loss: 0.0169
Epoch 7  	Train Acc: 0.3039	Train loss: 0.0148	Test Acc: 0.3170	Test loss: 0.0166
Epoch 8  	Train Acc: 0.3219	Train loss: 0.0148	Test Acc: 0.2965	Test loss: 0.0161
Epoch 9  	Train Acc: 0.2730	Train loss: 0.0151	Test Acc: 0.2371	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3148	Train loss: 0.0149	Test Acc: 0.2507	Test loss: 0.0161
Epoch 11 	Train Acc: 0.2906	Train loss: 0.0154	Test Acc: 0.2476	Test loss: 0.0159
Epoch 12 	Train Acc: 0.3094	Train loss: 0.0146	Test Acc: 0.2846	Test loss: 0.0156
Epoch 13 	Train Acc: 0.3187	Train loss: 0.0142	Test Acc: 0.2786	Test loss: 0.0156
Epoch 14 	Train Acc: 0.2594	Train loss: 0.0147	Test Acc: 0.3152	Test loss: 0.0154
Epoch 15 	Train Acc: 0.3676	Train loss: 0.0140	Test Acc: 0.3353	Test loss: 0.0150
Epoch 16 	Train Acc: 0.3570	Train loss: 0.0139	Test Acc: 0.3093	Test loss: 0.0149
Epoch 17 	Train Acc: 0.3285	Train loss: 0.0143	Test Acc: 0.3385	Test loss: 0.0145
Epoch 18 	Train Acc: 0.3668	Train loss: 0.0138	Test Acc: 0.3759	Test loss: 0.0139
Epoch 19 	Train Acc: 0.4000	Train loss: 0.0246	Test Acc: 0.3839	Test loss: 0.0134
Epoch 20 	Train Acc: 0.3707	Train loss: 0.0135	Test Acc: 0.3476	Test loss: 0.0137
Epoch 21 	Train Acc: 0.3559	Train loss: 0.0135	Test Acc: 0.3574	Test loss: 0.0133
Epoch 22 	Train Acc: 0.3754	Train loss: 0.0129	Test Acc: 0.3421	Test loss: 0.0140
Epoch 23 	Train Acc: 0.3824	Train loss: 0.0130	Test Acc: 0.3542	Test loss: 0.0138
Epoch 24 	Train Acc: 0.3719	Train loss: 0.0131	Test Acc: 0.3935	Test loss: 0.0133
Epoch 25 	Train Acc: 0.4137	Train loss: 0.0128	Test Acc: 0.4100	Test loss: 0.0126
Epoch 26 	Train Acc: 0.4070	Train loss: 0.0126	Test Acc: 0.3716	Test loss: 0.0133
Epoch 27 	Train Acc: 0.3816	Train loss: 0.0129	Test Acc: 0.3666	Test loss: 0.0134
Epoch 28 	Train Acc: 0.3879	Train loss: 0.0126	Test Acc: 0.4105	Test loss: 0.0129
Epoch 29 	Train Acc: 0.4152	Train loss: 0.0128	Test Acc: 0.4125	Test loss: 0.0128
Epoch 30 	Train Acc: 0.4273	Train loss: 0.0124	Test Acc: 0.3965	Test loss: 0.0136
