seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinSum, defense: TrimmedMean, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_TrimmedMean/200_20_4_0.05_2025-03-06_16-51-57.txt

Started on Thu Mar  6 16:51:57 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1181	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1547	Train loss: 0.0177	Test Acc: 0.1407	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2406	Train loss: 0.0169	Test Acc: 0.2031	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2977	Train loss: 0.0161	Test Acc: 0.2552	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3215	Train loss: 0.0154	Test Acc: 0.2829	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3242	Train loss: 0.0149	Test Acc: 0.3444	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3699	Train loss: 0.0141	Test Acc: 0.3233	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3500	Train loss: 0.0139	Test Acc: 0.3109	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3789	Train loss: 0.0136	Test Acc: 0.3020	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3707	Train loss: 0.0134	Test Acc: 0.2444	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3320	Train loss: 0.0138	Test Acc: 0.2473	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3949	Train loss: 0.0129	Test Acc: 0.2437	Test loss: 0.0160
